iteration,operation,algorithm,duration_ms,tracemalloc_peak_bytes,tracemalloc_current_bytes,payload_size_bytes,timestamp,environment
56,raw_rsa_sign,RSA-2048,45.674749999307096,742.0,52.0,256,2026-03-27T13:28:44.849351+00:00,arm64-darwin
57,raw_rsa_sign,RSA-2048,45.73745798552409,742.0,52.0,256,2026-03-27T13:28:44.849352+00:00,arm64-darwin
58,raw_rsa_sign,RSA-2048,45.49058299744502,742.0,52.0,256,2026-03-27T13:28:44.849353+00:00,arm64-darwin
59,raw_rsa_sign,RSA-2048,45.596249983645976,742.0,52.0,256,2026-03-27T13:28:44.849354+00:00,arm64-darwin
60,raw_rsa_sign,RSA-2048,116.11970799276605,742.0,52.0,256,2026-03-27T13:28:44.849355+00:00,arm64-darwin
61,raw_rsa_sign,RSA-2048,46.57533299177885,742.0,52.0,256,2026-03-27T13:28:44.849356+00:00,arm64-darwin
62,raw_rsa_sign,RSA-2048,45.3535410342738,742.0,52.0,256,2026-03-27T13:28:44.849357+00:00,arm64-darwin
63,raw_rsa_sign,RSA-2048,45.60308298096061,742.0,52.0,256,2026-03-27T13:28:44.849357+00:00,arm64-darwin
64,raw_rsa_sign,RSA-2048,46.24624998541549,742.0,52.0,256,2026-03-27T13:28:44.849358+00:00,arm64-darwin
65,raw_rsa_sign,RSA-2048,46.37549998005852,742.0,52.0,256,2026-03-27T13:28:44.849359+00:00,arm64-darwin
66,raw_rsa_sign,RSA-2048,45.475583989173174,742.0,52.0,256,2026-03-27T13:28:44.849360+00:00,arm64-darwin
67,raw_rsa_sign,RSA-2048,45.450624951627105,742.0,52.0,256,2026-03-27T13:28:44.849361+00:00,arm64-darwin
68,raw_rsa_sign,RSA-2048,45.86950002703816,742.0,52.0,256,2026-03-27T13:28:44.849362+00:00,arm64-darwin
69,raw_rsa_sign,RSA-2048,45.662582968361676,742.0,52.0,256,2026-03-27T13:28:44.849363+00:00,arm64-darwin
70,raw_rsa_sign,RSA-2048,49.726582947187126,742.0,52.0,256,2026-03-27T13:28:44.849364+00:00,arm64-darwin
71,raw_rsa_sign,RSA-2048,93.27987500000745,742.0,52.0,256,2026-03-27T13:28:44.849365+00:00,arm64-darwin
72,raw_rsa_sign,RSA-2048,46.91425000783056,742.0,52.0,256,2026-03-27T13:28:44.849366+00:00,arm64-darwin
73,raw_rsa_sign,RSA-2048,47.07658296683803,742.0,52.0,256,2026-03-27T13:28:44.849367+00:00,arm64-darwin
74,raw_rsa_sign,RSA-2048,46.47266597021371,742.0,52.0,256,2026-03-27T13:28:44.849368+00:00,arm64-darwin
75,raw_rsa_sign,RSA-2048,45.57433299487457,742.0,52.0,256,2026-03-27T13:28:44.849369+00:00,arm64-darwin
76,raw_rsa_sign,RSA-2048,45.62970797996968,742.0,52.0,256,2026-03-27T13:28:44.849370+00:00,arm64-darwin
77,raw_rsa_sign,RSA-2048,45.25525000644848,742.0,52.0,256,2026-03-27T13:28:44.849371+00:00,arm64-darwin
78,raw_rsa_sign,RSA-2048,45.31937499996275,742.0,52.0,256,2026-03-27T13:28:44.849372+00:00,arm64-darwin
79,raw_rsa_sign,RSA-2048,45.53924995707348,742.0,52.0,256,2026-03-27T13:28:44.849373+00:00,arm64-darwin
80,raw_rsa_sign,RSA-2048,45.266542001627386,742.0,52.0,256,2026-03-27T13:28:44.849374+00:00,arm64-darwin
81,raw_rsa_sign,RSA-2048,45.545457978732884,742.0,52.0,256,2026-03-27T13:28:44.849375+00:00,arm64-darwin
82,raw_rsa_sign,RSA-2048,45.52108398638666,742.0,52.0,256,2026-03-27T13:28:44.849376+00:00,arm64-darwin
83,raw_rsa_sign,RSA-2048,45.37245800020173,742.0,52.0,256,2026-03-27T13:28:44.849377+00:00,arm64-darwin
84,raw_rsa_sign,RSA-2048,45.660790987312794,742.0,52.0,256,2026-03-27T13:28:44.849378+00:00,arm64-darwin
85,raw_rsa_sign,RSA-2048,45.25454202666879,742.0,52.0,256,2026-03-27T13:28:44.849379+00:00,arm64-darwin
86,raw_rsa_sign,RSA-2048,45.72945897234604,742.0,52.0,256,2026-03-27T13:28:44.849380+00:00,arm64-darwin
87,raw_rsa_sign,RSA-2048,45.43666704557836,742.0,52.0,256,2026-03-27T13:28:44.849381+00:00,arm64-darwin
88,raw_rsa_sign,RSA-2048,45.30541697749868,742.0,52.0,256,2026-03-27T13:28:44.849382+00:00,arm64-darwin
89,raw_rsa_sign,RSA-2048,45.66520900698379,742.0,52.0,256,2026-03-27T13:28:44.849382+00:00,arm64-darwin
90,raw_rsa_sign,RSA-2048,45.42983399005607,742.0,52.0,256,2026-03-27T13:28:44.849383+00:00,arm64-darwin
91,raw_rsa_sign,RSA-2048,45.38312501972541,742.0,52.0,256,2026-03-27T13:28:44.849384+00:00,arm64-darwin
92,raw_rsa_sign,RSA-2048,45.51175003871322,742.0,52.0,256,2026-03-27T13:28:44.849385+00:00,arm64-darwin
93,raw_rsa_sign,RSA-2048,45.31937499996275,742.0,52.0,256,2026-03-27T13:28:44.849386+00:00,arm64-darwin
94,raw_rsa_sign,RSA-2048,45.7192090107128,742.0,52.0,256,2026-03-27T13:28:44.849387+00:00,arm64-darwin
95,raw_rsa_sign,RSA-2048,45.5918749794364,742.0,52.0,256,2026-03-27T13:28:44.849388+00:00,arm64-darwin
96,raw_rsa_sign,RSA-2048,45.324333012104034,742.0,52.0,256,2026-03-27T13:28:44.849389+00:00,arm64-darwin
97,raw_rsa_sign,RSA-2048,45.44808296486735,742.0,52.0,256,2026-03-27T13:28:44.849390+00:00,arm64-darwin
98,raw_rsa_sign,RSA-2048,45.26704200543463,742.0,52.0,256,2026-03-27T13:28:44.849391+00:00,arm64-darwin
99,raw_rsa_sign,RSA-2048,45.128416968509555,742.0,52.0,256,2026-03-27T13:28:44.849392+00:00,arm64-darwin
0,raw_rsa_verify,RSA-2048,0.061125028878450394,517.0,52.0,256,2026-03-27T13:28:44.858029+00:00,arm64-darwin
1,raw_rsa_verify,RSA-2048,0.059125013649463654,517.0,52.0,256,2026-03-27T13:28:44.858034+00:00,arm64-darwin
2,raw_rsa_verify,RSA-2048,0.05791697185486555,517.0,52.0,256,2026-03-27T13:28:44.858036+00:00,arm64-darwin
3,raw_rsa_verify,RSA-2048,0.05837494973093271,517.0,52.0,256,2026-03-27T13:28:44.858037+00:00,arm64-darwin
4,raw_rsa_verify,RSA-2048,0.05774997407570481,517.0,52.0,256,2026-03-27T13:28:44.858038+00:00,arm64-darwin
5,raw_rsa_verify,RSA-2048,0.06133300485089421,517.0,52.0,256,2026-03-27T13:28:44.858039+00:00,arm64-darwin
6,raw_rsa_verify,RSA-2048,0.05787500413134694,517.0,52.0,256,2026-03-27T13:28:44.858040+00:00,arm64-darwin
